j,job_id,submit_time,execute_time,timestamp,queue_wait_s,turnaround_s,memory_usage_mb,N,pi_est,error
138,166,2026-07-16 14:17:38,2026-07-16 14:19:07,2026-07-16 14:19:07,89.0,89.0,0,138000,3.1472753623188408,0.005682708729047636
139,143,2026-07-16 14:17:38,2026-07-16 14:19:07,2026-07-16 14:19:08,89.0,90.0,0,139000,3.1469640287769782,0.005371375187185112
140,180,2026-07-16 14:17:38,2026-07-16 14:19:07,2026-07-16 14:19:08,89.0,90.0,0,140000,3.146714285714286,0.005121632124492681
141,221,2026-07-16 14:17:38,2026-07-16 14:19:08,2026-07-16 14:19:08,90.0,90.0,0,141000,3.1464113475177307,0.004818693927937545
142,209,2026-07-16 14:17:38,2026-07-16 14:19:08,2026-07-16 14:19:08,90.0,90.0,0,142000,3.146281690140845,0.004689036551051906
143,208,2026-07-16 14:17:38,2026-07-16 14:19:07,2026-07-16 14:19:08,89.0,90.0,0,143000,3.146993006993007,0.005400353403214098
144,195,2026-07-16 14:17:38,2026-07-16 14:19:07,2026-07-16 14:19:08,89.0,90.0,0,144000,3.146916666666667,0.00532401307687369
145,156,2026-07-16 14:17:38,2026-07-16 14:19:07,2026-07-16 14:19:08,89.0,90.0,0,145000,3.1469241379310344,0.00533148434124131
146,142,2026-07-16 14:17:38,2026-07-16 14:19:07,2026-07-16 14:19:08,89.0,90.0,0,146000,3.146602739726027,0.005010086136234104
147,183,2026-07-16 14:17:38,2026-07-16 14:19:07,2026-07-16 14:19:08,89.0,90.0,0,147000,3.146721088435374,0.005128434845580898
148,222,2026-07-16 14:17:38,2026-07-16 14:19:08,2026-07-16 14:19:08,90.0,90.0,0,148000,3.1466756756756755,0.005083022085882405
149,196,2026-07-16 14:17:38,2026-07-16 14:19:08,2026-07-16 14:19:08,90.0,90.0,0,149000,3.146469798657718,0.004877145067924804
150,145,2026-07-16 14:17:38,2026-07-16 14:19:07,2026-07-16 14:19:08,89.0,90.0,0,150000,3.1470666666666665,0.005474013076873341
151,192,2026-07-16 14:17:38,2026-07-16 14:19:07,2026-07-16 14:19:08,89.0,90.0,0,151000,3.1465960264900663,0.005003372900273195
152,233,2026-07-16 14:17:38,2026-07-16 14:19:08,2026-07-16 14:19:08,90.0,90.0,0,152000,3.146184210526316,0.004591556936522689
153,226,2026-07-16 14:17:38,2026-07-16 14:19:08,2026-07-16 14:19:08,90.0,90.0,0,153000,3.146640522875817,0.005047869286023854
154,187,2026-07-16 14:17:38,2026-07-16 14:19:07,2026-07-16 14:19:08,89.0,90.0,0,154000,3.1465714285714284,0.004978774981635237
155,185,2026-07-16 14:17:38,2026-07-16 14:19:08,2026-07-16 14:19:08,90.0,90.0,0,155000,3.1464,0.004807346410206748
